price,location,distance,amenities,ratings,type
1728,Kottayam,,Free WiFi Family rooms Restaurant Free parking Room service Breakfast ,5.2,Deluxe Room
826,Kottayam,,Free WiFi Family rooms Free parking Airport shuttle ,6.1,Budget Double Room
4500,Kottayam,,Free WiFi Free parking Room service Non-smoking rooms Facilities for disabled guests Tea/coffee maker in all rooms Bar Good breakfast,7.9,Studio
2500,Kottayam,,Free WiFi Family rooms Restaurant Free parking Room service Non-smoking rooms Bar ,8.4,Standard Double Room
2700,Kottayam,,2 swimming pools Free WiFi Family rooms Restaurant Free parking Room service Non-smoking rooms Tea/coffee maker in all rooms Bar Breakfast ,6.4,Deluxe Double or Twin Room
3188,Kottayam,,2 swimming pools Free WiFi Restaurant Free parking Room service Airport shuttle Non-smoking rooms Facilities for disabled guests Tea/coffee maker in all rooms Bar ,6.4,Standard Room
999,Kottayam,,Free WiFi Free parking Room service ,6.7,Standard Double Room with Fan
2700,Kottayam,,Family rooms Free parking Room service Airport shuttle (free) Non-smoking rooms Tea/coffee maker in all rooms ,7.5,Deluxe Double Room
4500,Kottayam,,Free WiFi Family rooms Free parking Non-smoking rooms Facilities for disabled guests ,7.8,Apartment
1299,Kottayam,,Family rooms Airport shuttle Non-smoking rooms ,6.7,Deluxe Double Room (2 Adults + 1 Child)
5950,Kottayam,,Free parking ,8.0,Apartment
2835,Kottayam,,Free WiFi Family rooms Restaurant Free parking Room service Airport shuttle Non-smoking rooms Tea/coffee maker in all rooms Bar Good breakfast,7.8,Deluxe Double Room
2320,Kottayam,,Outdoor swimming pool Free WiFi Family rooms Restaurant Free parking Room service Airport shuttle Non-smoking rooms Very good breakfast,9.4,Superior Family Room
2055,Kottayam,,Free WiFi Family rooms Restaurant Free parking Room service Non-smoking rooms Bar ,6.9,Standard Double Room
3900,Kottayam,,Family rooms Restaurant Free parking Room service Airport shuttle Facilities for disabled guests Tea/coffee maker in all rooms Breakfast ,8.9,Deluxe Double Room
2500,Kottayam,,Free WiFi Family rooms Restaurant Free parking Room service Non-smoking rooms Facilities for disabled guests Tea/coffee maker in all rooms Bar Breakfast ,6.8,Standard Double Room
1599,Kottayam,,Free WiFi Free parking Tea/coffee maker in all rooms ,9.1,Double Room
