price,location,distance,amenities,ratings,type
1751,"Nampally, Hyderabad",,Room service Free WiFi Non-smoking rooms Family rooms 24-hour front desk Breakfast ,7.0,Standard Double Room
6300,Hyderabad,,Outdoor swimming pool Airport shuttle Spa and wellness centre Fitness centre Room service Restaurant Free WiFi Tea/coffee maker in all rooms Bar Fabulous breakfast,8.5,Superior Twin Room
1700,Hyderabad,,Airport shuttle Room service Free WiFi Free parking Non-smoking rooms Family rooms ,8.5,Deluxe Queen Room
1009,Hyderabad,,Free WiFi ,7.665000000000001,Classic Triple Room
1341,"Gachibowli, Hyderabad",,Free WiFi Non-smoking rooms ,8.0,Deluxe Double Room
13500,Hyderabad,,Free WiFi Free parking ,8.7,Three-Bedroom Apartment
1511,Hyderabad,,Room service 24-hour front desk ,3.6,Deluxe Triple Room
3999,Hyderabad,,Free WiFi Free parking Non-smoking rooms Family rooms ,10.0,Two-Bedroom Apartment
1519,"Gachibowli, Hyderabad",,Room service Free WiFi 24-hour front desk ,7.665000000000001,Classic Triple Room
5650,Hyderabad,,Outdoor swimming pool Fitness centre Room service Restaurant Free WiFi Free parking Non-smoking rooms Tea/coffee maker in all rooms Bar Good breakfast,7.4,Premium Twin Room 
1056,Hyderabad,,Room service 24-hour front desk ,5.0,Classic Triple Room
4350,"Gachibowli, Hyderabad",,Room service Restaurant Free WiFi Free parking Non-smoking rooms Family rooms 24-hour front desk Tea/coffee maker in all rooms Breakfast ,7.4,Standard Double Room
2228,Hyderabad,,Room service Free WiFi Free parking Non-smoking rooms Family rooms 24-hour front desk Breakfast ,7.6,Standard Double Room
568,Hyderabad,,Room service Free WiFi 24-hour front desk ,1.0,Classic Triple Room
1586,Hyderabad,,Fitness centre Room service 24-hour front desk Bar ,5.7,Deluxe Triple Room
3364,"Begumpet, Hyderabad",,Outdoor swimming pool Airport shuttle (free) Spa and wellness centre Fitness centre Room service Restaurant Free WiFi Free parking Tea/coffee maker in all rooms Breakfast ,4.3,Standard Room
6300,Hyderabad,,Outdoor swimming pool Spa and wellness centre Fitness centre Room service Restaurant Free WiFi Free parking Non-smoking rooms Bar Superb breakfast,8.3,Deluxe Twin Room
7999,Hyderabad,,Outdoor swimming pool Airport shuttle Fitness centre Room service Restaurant Free WiFi Free parking Tea/coffee maker in all rooms Bar Good breakfast,8.0,Twin Room with Sofa Bed
2700,Hyderabad,,Room service Free parking Non-smoking rooms Family rooms 24-hour front desk Tea/coffee maker in all rooms Breakfast ,7.8,Superior Double or Twin Room
412,"Abids, Hyderabad",,Room service 24-hour front desk ,6.0,Classic Triple Room
